TAZID,CO_TAZID,DEVACRES,SA_2016
2190,492190,184.13,0
2193,492193,298.04,0
2180,492180,63.58,0
2194,492194,470.94,0
2197,492197,111.57,0
2200,492200,145.4,0
2198,492198,55.73,0
2201,492201,254.71,0
2203,492203,261.34,0
2202,492202,366.35,0
2204,492204,202.43,0
2206,492206,196.3,0
2212,492212,201.03,0
2219,492219,39.91,0
2216,492216,152.54,0
2213,492213,260.15,0
2220,492220,71.19,0
2221,492221,195.51,0
2222,492222,305.35,0
2223,492223,264.96,0
2225,492225,313.82,0
2226,492226,219.29,0
2227,492227,71.79,0
2232,492232,95.28,0
2234,492234,119.18,0
2235,492235,60.71,0
2236,492236,107.24,0
2239,492239,181.26,0
2241,492241,108.13,0
2244,492244,291.38,0
2242,492242,172.24,0
2243,492243,164.59,0
2246,492246,408.11,0
2250,492250,200.12,0
2247,492247,213.65,0
2261,492261,157.63,0
2252,492252,95.31,0
2262,492262,124.19,0
2264,492264,107.56,0
2269,492269,54.3,0
2270,492270,60.96,0
2267,492267,130.44,0
2272,492272,144.94,0
2268,492268,210.57,0
2273,492273,133.89,0
2275,492275,30.04,0
2274,492274,162.17,0
2276,492276,146.13,0
2271,492271,141.84,0
2266,492266,140.84,0
2277,492277,156.34,0
2278,492278,409.57,0
2279,492279,142.16,0
2280,492280,140.4,0
2281,492281,226.09,0
2282,492282,127.29,0
2283,492283,306.35,0
2284,492284,178.34,0
2289,492289,151.24,0
2286,492286,80.47,0
2285,492285,162.82,0
2288,492288,162.17,0
2287,492287,53.42,0
2290,492290,181.17,0
2296,492296,161.69,0
2295,492295,184.12,0
2292,492292,187.42,0
2293,492293,169.54,0
2291,492291,200.51,0
2294,492294,95.48,0
2297,492297,149.11,0
2298,492298,81.67,0
2301,492301,190.44,0
2230,492230,347.11,0
2302,492302,171.8,0
2300,492300,230.89,0
2303,492303,149.47,0
2299,492299,236.21,0
2305,492305,123.94,0
2306,492306,164.4,0
2310,492310,164.11,0
2312,492312,162.22,0
2313,492313,79.36,0
2309,492309,70.2,0
2314,492314,57.12,0
2316,492316,167.25,0
2317,492317,182.6,0
2318,492318,182.13,0
2319,492319,160.27,0
2320,492320,155.19,0
2321,492321,44.99,0
2332,492332,129.6,0
2324,492324,166.43,0
2325,492325,90.09,0
2328,492328,96.86,0
2329,492329,42.98,0
2330,492330,37.46,0
2327,492327,160.32,0
2331,492331,39.33,0
2335,492335,76.33,0
2336,492336,160.96,0
2337,492337,137.46,0
